@attribute a,b,c,d,e,f,g,h
honda_civic_(auto),32.0,4,91.00,67.00,1965.0,15.7,82,3
datsun_310_gx,38.0,4,91.00,67.00,1995.0,16.2,82,3
buick_century_limited,25.0,6,181.0,110.0,2945.0,16.4,82,1
oldsmobile_cutlass_ciera_(diesel),38.0,6,262.0,85.00,3015.0,17.0,82,1
chrysler_lebaron_medallion,26.0,4,156.0,92.00,2585.0,14.5,82,1
ford_granada_l,22.0,6,232.0,112.0,2835,14.7,82,1
toyota_celica_gt,32.0,4,144.0,96.00,2665.0,13.9,82,3
dodge_charger_2.2,36.0,4,135.0,84.00,2370.0,13.0,82,1
chevrolet_camaro,27.0,4,151.0,90.00,2950.0,17.3,82,1
ford_mustang_gl,27.0,4,140.0,86.00,2790.0,15.6,82,1
vw_pickup,44.0,4,97.00,52.00,2130.0,24.6,82,2
dodge_rampage,32.0,4,135.0,84.00,2295.0,11.6,82,1
ford_ranger,28.0,4,120.0,79.00,2625.0,18.6,82,1
chevy_s-10,31.0,4,119.0,82.00,2720.0,19.4,82,1
@end_data
